Effect,DFn,DFd,SSn,SSd,F,p,p<.05,ges,pes
(Intercept),1,54,7854.3556353743,385.660832878419,1099.76219556608,1.3843717364893e-37,*,0.941672347771863,0.953196594404356
fan_cl_spiel,1,54,0.000267910882754069,385.660832878419,3.75127221521107e-05,0.995135747862692,,5.50687065905166e-07,6.9467955727388e-07
team,1,54,0.684017838396371,11.5263355239215,3.20457123573628,0.079039827229689,,0.00140401582556401,0.0560194957590094
eb_dist_factor,2,108,22.6811828801187,17.2718972383192,70.9119478090176,2.15103798710443e-20,*,0.0445441900005019,0.567695477116708
testTime,1,54,2.45809797133141,27.1037536393158,4.89737665927393,0.0311443968386298,*,0.00502718840755,0.0831510151565095
fan_cl_spiel:team,1,54,2.03184681404896,11.5263355239215,9.51904685846897,0.00320397969378278,*,0.00415906489474383,0.149861298764117
fan_cl_spiel:eb_dist_factor,2,108,0.905096164421092,17.2718972383192,2.82975241250886,0.0634120474014188,,0.00185695879828574,0.0497935023888297
fan_cl_spiel:testTime,1,54,0.324877834217167,27.1037536393158,0.647268392459085,0.424618972175735,,0.000667336568749802,0.0118444784432885
team:eb_dist_factor,2,108,0.137295880874402,16.9040599367319,0.438591533333801,0.646087726602068,,0.000282130294980615,0.00805662896449557
team:testTime,1,54,0.220969691448001,4.81085422440581,2.48030033370338,0.121121414661444,,0.000453994150668302,0.0439144324489953
eb_dist_factor:testTime,2,108,1.21129433916424,9.94645180706028,6.57620381455416,0.00201814395207786,*,0.00248361620685699,0.108560844035165
fan_cl_spiel:team:eb_dist_factor,2,108,0.00722946835994859,16.9040599367319,0.0230945283498977,0.977174933513499,,1.48598582891712e-05,0.000427493621968994
fan_cl_spiel:team:testTime,1,54,0.28741749676061,4.81085422440581,3.22615155253221,0.0780657867381012,,0.000590434144599096,0.0563754763339394
fan_cl_spiel:eb_dist_factor:testTime,2,108,0.166544187192808,9.94645180706028,0.904180333134261,0.407916022931814,,0.000342212282568692,0.0164683331514667
team:eb_dist_factor:testTime,2,108,0.270820578231297,13.2784980473671,1.10135281658529,0.336125071662786,,0.000556358503649214,0.0199877636444125
fan_cl_spiel:team:eb_dist_factor:testTime,2,108,0.174840692449819,13.2784980473671,0.7110290153759,0.493422944377984,,0.000359253682021555,0.0129960819266637
